coin,date,level,mean_markout_bp,n_fills,n_opportunities
BTC,20240802,2,-1.1049504838895807,2745,769610
BTC,20240802,3,-0.5191257437464223,2060,769610
BTC,20240802,4,-0.8005471744774149,1441,769610
BTC,20240802,5,-0.4541185700437449,1282,769610
BTC,20240916,1,-0.9064557355973222,4274,706045
BTC,20240916,2,-0.6271417698566532,1623,706045
BTC,20240916,3,-1.148301812018441,979,706045
BTC,20240916,4,-1.038753389453675,927,706045
BTC,20240916,5,0.08589659292358191,674,706045
BTC,20241004,1,-0.8329330537331672,4134,677457
BTC,20241004,2,-0.9487560453276996,1014,677457
BTC,20241004,3,-0.5140718248035117,851,677457
BTC,20241004,4,-0.5629481065495208,612,677457
BTC,20241004,5,-0.667299404252495,692,677457
BTC,20241031,1,-0.7746332771750546,3784,647674
BTC,20241031,2,-1.0448006493309139,990,647674
BTC,20241031,3,-0.6854426047385831,764,647674
BTC,20241031,4,-1.3638007717957015,610,647674
BTC,20241031,5,-0.5439669813918075,493,647674
BTC,20241124,1,-0.8880459231790205,3320,675544
BTC,20241124,2,-0.7618282931186845,851,675544
BTC,20241124,3,-0.6778656103432703,591,675544
BTC,20241124,4,-0.7106211528437589,464,675544
BTC,20241124,5,0.19466086127112803,577,675544
BTC,20241130,1,-0.8845074830723774,1482,626442
BTC,20241130,2,-0.7428365323179124,369,626442
BTC,20241130,3,-0.3337123470800147,256,626442
BTC,20241130,4,-1.24206680081088,151,626442
BTC,20241130,5,-0.9663102340082398,140,626442
BTC,20241215,1,-1.135773408922026,3982,623579
BTC,20241215,2,6.288738224394085,1086,623579
BTC,20241215,3,-1.2616725144541823,579,623579
BTC,20241215,4,-0.004431663231921575,413,623579
BTC,20241215,5,2.4939870439267975,395,623579
BTC,20250225,1,-0.6354237312070522,11243,782670
BTC,20250225,2,-0.5035305348584115,3096,782670
BTC,20250225,3,0.07796911130996356,2055,782670
BTC,20250225,4,-1.0748663538020133,1614,782670
BTC,20250225,5,0.5902250208012574,1525,782670
DOGE,20230401,1,0.27866071874394893,429,636379
DOGE,20230401,2,0.9421123342278478,150,636379
DOGE,20230401,3,-0.15684992272477477,69,636379
DOGE,20230401,4,1.2182951371589115,26,636379
DOGE,20230401,5,11.489989598250304,6,636379
DOGE,20230416,1,-0.8755765447477609,393,527688
DOGE,20230416,2,-1.122410594038086,287,527688
DOGE,20230416,3,3.0898767663301463,47,527688
DOGE,20230416,4,8.775925891517499,18,527688
DOGE,20230416,5,-0.03597431568468394,15,527688
DOGE,20230422,1,-1.8522871200517586,174,436432
DOGE,20230422,2,-1.1660740230289457,91,436432
DOGE,20230422,3,0.02942806944409231,10,436432
DOGE,20230422,4,-0.6334325711034395,1,436432
DOGE,20230422,5,8.098174795987742,1,436432
DOGE,20230522,1,-1.8294862593468229,148,395013
DOGE,20230522,2,-0.3840905890630962,59,395013
DOGE,20230522,3,-3.780501977197629,4,395013
DOGE,20230522,4,10.440593025682707,1,395013
DOGE,20230522,5,,0,395013
DOGE,20230621,1,-1.9458358720049298,275,498336
DOGE,20230621,2,-4.868528641394968,54,498336
DOGE,20230621,3,0.05465381163393742,13,498336
DOGE,20230621,4,7.4337501073622585,6,498336
DOGE,20230621,5,15.146210653405447,3,498336
DOGE,20230718,1,1.6346998916037734,140,388510
DOGE,20230718,2,3.6361373451639087,32,388510
DOGE,20230718,3,0.8205528156197451,14,388510
DOGE,20230718,4,1.7167131914435683,3,388510
DOGE,20230718,5,15.990945759188273,5,388510
DOGE,20230727,1,-0.9061913463939217,354,555843
DOGE,20230727,2,-0.8625267904785063,71,555843
DOGE,20230727,3,1.3952742464076848,33,555843
DOGE,20230727,4,1.1576926624774742,20,555843
DOGE,20230727,5,7.751730583498398,9,555843
DOGE,20230808,1,-1.5914004014734209,162,484856
DOGE,20230808,2,-0.6263759537967996,31,484856
DOGE,20230808,3,2.1309118794173423,11,484856
DOGE,20230808,4,6.360033315777571,8,484856
DOGE,20230808,5,8.686025630495074,4,484856
DOGE,20230823,1,-11.077456709822004,199,521615
DOGE,20230823,2,-33.141393374930495,57,521615
DOGE,20230823,3,-43.14678153033699,33,521615
DOGE,20230823,4,-36.23057160586679,22,521615
DOGE,20230823,5,-28.913094465610165,16,521615
DOGE,20230916,1,-1.009118449951643,39,357956
DOGE,20230916,2,-0.4820659743969949,10,357956
DOGE,20230916,3,-0.005761605103349554,4,357956
DOGE,20230916,4,6.0638869944475555,4,357956
DOGE,20230916,5,2.4100257224937964,2,357956
DOGE,20230925,1,-1.8958243723283386,29,340167
DOGE,20230925,2,-0.41128471384084275,4,340167
DOGE,20230925,3,,0,340167
DOGE,20230925,4,4.112180277982934,1,340167
DOGE,20230925,5,,0,340167
