venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,AVAX,20250802,10000,2131,0.25721331888182697,-1.0429756290806442,-0.7857623101988171
bybit_perp,AVAX,20250803,100,6571,0.24173472507481192,-1.2168492936196522,-0.9751145685448404
bybit_perp,AVAX,20250803,250,5353,0.2514294726923388,-1.2688678270411078,-1.0174383543487693
bybit_perp,AVAX,20250803,500,4742,0.25222676729713317,-1.2218553385637945,-0.9696285712666612
bybit_perp,AVAX,20250803,1000,3967,0.2523209657223092,-1.194538670641303,-0.9422177049189936
bybit_perp,AVAX,20250803,2000,3162,0.25244760646451836,-1.1289904709715377,-0.8765428645070196
bybit_perp,AVAX,20250803,5000,2288,0.2541047911719929,-0.9699890506005691,-0.7158842594285759
bybit_perp,AVAX,20250803,10000,1766,0.25723825249615045,-0.6714283595447383,-0.4141901070485878
bybit_perp,AVAX,20250804,100,9474,0.23583632677511737,-1.2142892957482252,-0.9784529689731079
bybit_perp,AVAX,20250804,250,7482,0.24819997907264313,-1.2907238834254353,-1.042523904352792
bybit_perp,AVAX,20250804,500,6518,0.25115461720669247,-1.2605659917701266,-1.0094113745634339
bybit_perp,AVAX,20250804,1000,5458,0.251078686995,-1.2198500634570082,-0.9687713764620084
bybit_perp,AVAX,20250804,2000,4253,0.2547605516405048,-1.1340682994695706,-0.8793077478290658
bybit_perp,AVAX,20250804,5000,3117,0.2548940171828377,-1.0290830188103963,-0.7741890016275587
bybit_perp,AVAX,20250804,10000,2251,0.25072454895684837,-0.7858757600588453,-0.535151211101997
bybit_perp,AVAX,20250805,100,8498,0.23529934130640395,-1.2798267034465063,-1.0445273621401021
bybit_perp,AVAX,20250805,250,6521,0.24634487349779832,-1.2691476259303316,-1.0228027524325332
bybit_perp,AVAX,20250805,500,5630,0.24578602234558375,-1.2188729151760915,-0.9730868928305072
bybit_perp,AVAX,20250805,1000,4596,0.24481870991973625,-1.1858015977465668,-0.9409828878268304
bybit_perp,AVAX,20250805,2000,3687,0.24486141755746313,-1.2566736878440838,-1.0118122702866206
bybit_perp,AVAX,20250805,5000,2594,0.24481503195145637,-1.0980384899501978,-0.8532234579987412
bybit_perp,AVAX,20250805,10000,1992,0.24452472025625271,-0.8515024289631904,-0.6069777087069377
bybit_perp,AVAX,20250806,100,7417,0.23499214130213106,-1.2144416569571834,-0.9794495156550524
bybit_perp,AVAX,20250806,250,5812,0.24670157896027567,-1.1849925414531746,-0.9382909624928987
bybit_perp,AVAX,20250806,500,4975,0.24695442878323254,-1.2413233076891583,-0.9943688789059258
bybit_perp,AVAX,20250806,1000,4043,0.24510014725036705,-1.2949119510732956,-1.0498118038229285
bybit_perp,AVAX,20250806,2000,3256,0.24678514171616525,-1.1901864813024905,-0.9434013395863252
bybit_perp,AVAX,20250806,5000,2410,0.24672690632719155,-1.118748148608297,-0.8720212422811057
bybit_perp,AVAX,20250806,10000,1756,0.24573735235676578,-0.7533946218428427,-0.5076572694860769
bybit_perp,AVAX,20250807,100,8298,0.22919108281308842,-1.121301246224964,-0.8921101634118755
bybit_perp,AVAX,20250807,250,6538,0.2409155802816434,-1.1252151974791074,-0.8842996171974641
bybit_perp,AVAX,20250807,500,5693,0.24117502157805662,-1.1227006049372676,-0.8815255833592109
bybit_perp,AVAX,20250807,1000,4816,0.24247712427690588,-1.1213842032395938,-0.8789070789626877
bybit_perp,AVAX,20250807,2000,3994,0.24216865450131606,-1.07525282074195,-0.833084166240634
bybit_perp,AVAX,20250807,5000,2863,0.23826098365508178,-1.0045474080183894,-0.7662864243633077
bybit_perp,AVAX,20250807,10000,2184,0.24068984958236744,-0.6679737709435273,-0.42728392136115984
