coin,date,block,regime,capture_sum,adverse_sum,net_sum,n_fills
AVAX,20241127,us,calm,0.0014202467864379287,-0.0076181781478226185,-0.006197931710630655,25.0
AVAX,20241127,us,mid,0.11270572245121002,-0.294902503490448,-0.18219676613807678,1854.0
AVAX,20241127,us,stress,0.00739920511841774,-0.011611572466790676,-0.004212365951389074,128.0
AVAX,20241206,asia,calm,0.0029237116686999798,-0.008438718505203724,-0.005515007767826319,58.0
AVAX,20241206,asia,mid,0.07764917612075806,-0.1719357967376709,-0.09428662806749344,1522.0
AVAX,20241206,asia,stress,0.010342972353100777,-0.01256756391376257,-0.002224590163677931,202.0
AVAX,20241206,europe,mid,0.11503449827432632,-0.24966543912887573,-0.13463094830513,2235.0
AVAX,20241206,europe,stress,0.019457237794995308,-0.028951657935976982,-0.009494423866271973,371.0
AVAX,20241206,us,calm,0.029275503009557724,-0.04179864376783371,-0.012523144483566284,599.0
AVAX,20241206,us,mid,0.038844138383865356,-0.12422828376293182,-0.08538413047790527,774.0
AVAX,20241215,asia,calm,0.03113667480647564,-0.06345867365598679,-0.032321996986866,609.0
AVAX,20241215,asia,mid,0.019223306328058243,-0.05253250151872635,-0.03330919146537781,356.0
AVAX,20241215,asia,stress,0.006168506573885679,-0.011574438773095608,-0.005405933130532503,119.0
AVAX,20241215,europe,calm,0.029254719614982605,-0.07632376253604889,-0.047069042921066284,580.0
AVAX,20241215,europe,mid,0.02496306039392948,-0.06012990325689316,-0.035166844725608826,497.0
AVAX,20241215,us,calm,0.02740250714123249,-0.0854153111577034,-0.05801280587911606,536.0
AVAX,20241215,us,mid,0.0343911275267601,-0.0627133771777153,-0.0283222496509552,627.0
AVAX,20241215,us,stress,0.019920714199543,-0.023504294455051422,-0.0035835793241858482,382.0
AVAX,20241224,asia,calm,0.008390825241804123,-0.009202880784869194,-0.0008120553102344275,128.0
AVAX,20241224,asia,mid,0.03601723909378052,-0.07119537889957428,-0.03517814353108406,546.0
AVAX,20241224,europe,calm,0.0031602070666849613,-0.0022184927947819233,0.0009417156688869,48.0
AVAX,20241224,europe,mid,0.07821046561002731,-0.16586606204509735,-0.08765560388565063,1223.0
AVAX,20241224,us,calm,0.006982616614550352,-0.021683167666196823,-0.014700551517307758,113.0
AVAX,20241224,us,mid,0.06528680771589279,-0.19570529460906982,-0.13041849434375763,1044.0
AVAX,20241230,asia,calm,0.012782154604792595,-0.026569655165076256,-0.013787498697638512,185.0
AVAX,20241230,asia,mid,0.01965901255607605,-0.03949398919939995,-0.0198349766433239,286.0
AVAX,20241230,europe,calm,0.0061811949126422405,-0.013502492569386959,-0.007321296725422144,91.0
AVAX,20241230,europe,mid,0.04989586025476456,-0.11013753712177277,-0.0602416917681694,710.0
AVAX,20241230,us,calm,0.010677237063646317,-0.02655394747853279,-0.015876712277531624,156.0
AVAX,20241230,us,mid,0.04520472511649132,-0.07080462574958801,-0.025599904358386993,645.0
AVAX,20241230,us,stress,0.009593179449439049,-0.012723451480269432,-0.0031302720308303833,139.0
AVAX,20250108,asia,calm,0.011600462719798088,-0.026988085359334946,-0.015387620776891708,174.0
AVAX,20250108,asia,mid,0.04260618984699249,-0.02725922130048275,0.015346967615187168,644.0
AVAX,20250108,asia,stress,0.0013430844992399216,-0.007103550713509321,-0.005760466679930687,20.0
AVAX,20250108,europe,calm,0.012028113007545471,-0.028500504791736603,-0.01647239178419113,183.0
AVAX,20250108,europe,mid,0.0408455990254879,-0.07430189847946167,-0.03345629945397377,598.0
AVAX,20250108,us,calm,0.0027341197710484266,-0.00895948801189661,-0.00622536800801754,38.0
AVAX,20250108,us,mid,0.04454083740711212,-0.115760937333107,-0.07122009992599487,652.0
AVAX,20250108,us,stress,0.03572440892457962,-0.08522549271583557,-0.04950108006596565,518.0
AVAX,20250117,asia,calm,0.02465938776731491,-0.04794202744960785,-0.023282639682292938,400.0
AVAX,20250117,asia,mid,0.007418319117277861,-0.013399148359894753,-0.00598082784563303,118.0
AVAX,20250117,europe,calm,0.020298000425100327,-0.043283361941576004,-0.022985363379120827,328.0
AVAX,20250117,europe,mid,0.03682870417833328,-0.09235473722219467,-0.05552603304386139,591.0
AVAX,20250117,us,calm,0.024421077221632004,-0.07276218384504318,-0.04834111034870148,398.0
